년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			2025-01",232,-1.3,-6.5,4.4
"			2025-02",232,-1.8,-7.8,4.1
"			2025-03",232,7.2,0.7,13.8
"			2025-04",232,12.8,5.4,20.2
"			2025-05",232,16.5,10.4,22.8
"			2025-06",232,22.6,17.5,28.2
"			2025-07",232,26.7,22.5,31.8
"			2025-08",232,26.5,22.6,31.3
"			2025-09",232,22.3,18.7,26.8
"			2025-10",232,15.9,12.1,20.7
"			2025-11",232,7.4,1.3,14.4
"			2025-12",232,1.2,-4.1,6.1
"			",,,,
